alley	n. 小径；小巷；小路
capsule	n. 胶囊；太空舱；蒴果；小容器; adj. 压缩的；概要的; vt. 简述；压缩 时 态: capsuled, capsuling, capsules
career	n. 事业，职业；生涯 时 态: careered, careering, careers
cashier	n. 出纳员; vt. 革除职务 时 态: cashiered, cashiering, cashiers
castle	n. 城堡；象棋中的车; vt. 置…于城堡中；筑城堡防御 时 态: castled, castling, castles
category	n. 种类, 类别
cathedral	n. 总教堂, 大教堂
cents	adj. 象征性优惠的
certificate	n. 证明书, 执照时 态: certificated, certificating, certificates
chair	n. 椅子; 大学教授职位; 主持会议的主席; vt. 主持; 把胜利者高高抬起 时 态: chaired, chairing, chairs
chance	n. 可能性；机会，际遇；运气，侥幸; vt. 偶然发生；冒……的险; vi. 碰巧；偶然被发现 时 态: chanced, chancing, chances
chancellor	n. 大臣, 司法官名 词: chancellorship
channel	vt. 引导，开导；形成河道；通灵；模仿，努力赶上; n. 海峡；通道；水渠；航道；途径；方式；频道；电视台；信道，沟道 时 态: channeled also channelle...
chat	vi. 聊天；闲谈; vt. 与…搭讪；与…攀谈; n. 聊天；闲谈 时 态: chatted, chatting, chats
chick	n. 小鸡；小鸟；少妇; adj. 胆小的；懦弱的
chin	n. 颏, 下巴时 态: chinned, chinning, chins 形容词: chinless
church	n. 教堂；礼拜；教派; adj. 教会的；礼拜的; vt. 领…到教堂接受宗教仪式 Church丘奇时 态: churched, churching, churches
cinema	n. 电影院; 电影艺术; 电影业 形容词: cinematic 副 词: cinematically
client	n. 委托人; 顾客, 常客 Client客户机程序.名 词: clientage
cliffs	n. 悬崖，峭壁；陡岸
climate	n. 气候
clinic	n. 诊所
cloth	n. 布, 布料; 用作某种用途的布
clothing	n. 服装；帆装; v. 给…穿衣；覆盖
coast	n. 海岸；海滨; v.滑行，惯性滑行; 快速平稳地移动; 不费力地取得成功; 不出力; 沿海岸航行 时 态: coasted, coasting, coasts 形容词...
colleague	n. 同事, 同僚
college	n. 大学，学院；高等专科学校
complaint	n. 抱怨, 诉苦; 投诉, 控告; 疾病
conferences	n. 给予,商量,授予
consultant	n. 顾问; 高级顾问医生, 会诊医生
consumption	n. 消费，消耗；消费量; 肺病；结核病
container	n. 容器; 集装箱, 货柜
contaminants	vt. 把…弄脏, 污染时 态: contaminated, contaminating, contaminates 形容词: contaminative 名 词: c...
contamination	n. 污染；弄脏；毒害; 玷污; 致污物
continent	n. 洲, 大陆; adj. 自制的, 克制的 副 词: continently
controversy	n. 争论；论战；辩论
convenience	n. 方便, 便利; 有用、有益或适宜的安排、用具或设施; 厕所
conversation	n. 交谈, 谈话, 会话形容词: conversational 副 词: conversationally
cop	n. 警察 COPabbr. Coefficient of Performance性能系数; Continuous Optimi-zation Progam连续优化程序; Control ...
corporation	n. 公司
corpse	n. 尸体
council	n. 理事会；会议；委员会；顾问班子；地方议会
course	n. 课程; 进程, 过程; 航向, 航线; 一道菜 时 态: coursed, coursing, courses
cream	n. 奶油，乳脂；乳酪；精华；面霜 时 态: creamed, creaming, creams 形容词: cream
creek	n. 〈英〉小湾, 小港; 〈美〉小河, 小溪 Creek克里克语,克里克联盟的印第安人
crop	n. 农作物；庄稼；产量；平头; vt. 种植；收割；修剪；剪短; vi. 收获 时 态: cropped, cropping, crops
cupboard	n. 柜橱
day	n. 一天；白昼；时期; adv. 每天；经常在白天地; adj. 日间的；逐日的
debt	n. 债, 债务, 欠他人的东西形容词: debtless
delegate	n. 代表, 代表团成员; vt. 任命或委派…为代表; 托付 时 态: delegated, delegating, delegates
delivery	n. 投递, 送交; 投递的邮件, 发送的货物; 分娩; 讲话方式, 演讲风格
department	n. 部, 部门, 系形容词: departmental
desert	n. 沙漠, 不毛之地; vt. 舍弃, 遗弃; vi. 开小差, 逃亡 时 态: deserted, deserting, deserts 名 词: deserter
desire	n. 欲望；要求，心愿；性欲; vt. 要求；想要；希望得到…; vi. 渴望 时 态: desired, desiring, desires
dictation	n. 口授, 听写; 听写测验
diet	n. 日常饮食; 规定饮食; vt. & vi. 节制饮食 时 态: dieted, dieting, diets 名 词: dieter
dining	n. 吃饭，进餐; v. 吃饭
dinner	n. 宴会；正餐；晚餐，晚宴
diploma	n. 毕业文凭, 学位证书, 执照
discipline	vt. 训练, 训导; 处罚, 惩罚; n. 训练, 锻炼, 训导; 纪律; 处罚, 处分; 学科 时 态: disciplined, disciplining, discipline...
disease	n. 病，疾病；弊病; vt. 使…有病；传染
divorce	vt. 使离婚，使分离；与…离婚; n. 离婚；分离; vi. 离婚 时 态: divorced, divorcing, divorces
due	adj. 到期的；应得的；应付的；预期的; n. 应付款；应得之物; adv. 正
elbow	n. 弯头；肘部；扶手; vt. 推挤；用手肘推开 时 态: elbowed, elbowing, elbows
electricity	n. 电, 电流; 热情, 紧张情绪
encyclopedia	n. 百科全书; 专科全书
energies	vt. 给予…精力,能量; 使通电
engineer	n. 工程师；工兵；火车司机; vt. 策划；设计；精明地处理; vi. 设计；建造 时 态: engineered, engineering, engineers
evidence	n. 证据，证明；迹象；明显; vt. 证明 时 态: evidenced, evidencing, evidences
excitement	n. 兴奋, 激动; 令人兴奋的事
exhibition	n. 展览, 展览会; 表现, 显示; 公开示范表演
expense	n. 开支；消费；损失，代价; vt. 向…收取费用; vi. 被花掉 时 态: expensed, expensing, expenses
explanation	n. 解释, 说明; 能说明某事缘由的言语、事实、情况等
failure	n. 失败；故障；失败者；破产
fare	n. 费, 票价; 乘客; 食物; vi. 吃, 进食; 进展, 遭遇 时 态: fared, faring, fares 名 词: farer
fat	adj. 多脂肪的, 肥胖的; 丰富的, 大量的; n. 脂肪, 油脂; 肥肉 FATabbr. file allocation table 文件分配表比较级: fatter, f...
fellowship	n. 团体, 协会; 伙伴关系, 友谊; 研究员职位; 学术奖金
ferries	adj. 含铁的,含有三价铁的
field	n. 田, 地, 牧场; 场地, 场所; 产地; 领域 Field菲尔德时 态: fielded, fielding, fields
film	n. 影片, 电影; 胶片, 胶卷; 薄层, 薄膜; vt. & vi. 拍摄电影; vt. 覆上一薄层 时 态: filmed, filming, films
flood	vt. 淹没；充满；溢出; vi. 为水淹没；涌出；涌进; n. 洪水；泛滥；一大批 时 态: flooded, flooding, floods
flooding	n. 泛滥
flour	n. 面粉；粉状物质; vt. 撒粉于；把…磨成粉 时 态: floured, flouring, flours 形容词: floury
flourish	vi. 茂盛, 繁荣; 兴旺发达; vt. 挥动 时 态: flourished, flourishing, flourishes
forestry	n. 林学；林业；森林地
formula	n. 公式，准则；配方；婴儿食品 形容词: formulaic 复 数: formulae
freezer	n. 冷藏室,冷藏车,冷藏库
freshman	n. 大学一年级学生；新手，生手
furniture	n. 家具
future	adj. 将来的, 未来的; n. 将来, 未来, 今后; 前途, 前景; 期货
gallery	n. 走廊；画廊；地道；旁听席; vt. 在…修建走廊；在…挖地道; vi. 挖地道 形容词: galleried
garage	n. 车库; 汽车修理站；加油站 时 态: garaged，garaging，garages
garbage	n. 垃圾；废物
goal	n. 球门; 进球得的分; 努力的对象, 目标
gold	n. 金, 黄金; 金色; adj. 金的; 金色的
grades	n. 分数；等级; v. 将…分等级；给…评成绩
growth	n. 生长，发育; 增加；发展，扩大; 生长物
gulf	n. 海湾；深渊；漩涡；分歧; vt. 吞没 时 态: gulfed, gulfing, gulfs
guy	n. 家伙, 伙计时 态: guyed, guying, guys
handball	n. 手球，手球运动
health	n. 健康；兴旺；卫生；保健
heart	n. 心脏；要点；感情；勇气；心形; vt. 鼓励；铭记; vi. 结心 时 态: hearted, hearting, hearts
heroes	n. 英雄
heroine	n. 女英雄；女杰; adj. 英雄式的
hit	vt. 袭击；碰撞；打击；偶然发现；伤…的感情; vi. 打击；打；碰撞；偶然碰上; n. 打击；打；成功；讽刺 时 态: hit, hitting, hits
hotel	n. 旅馆，饭店；客栈; vt. 使…在饭店下榻; vi. 进行旅馆式办公
hotline	n. 热线
idea	n. 主意；概念；想法 形容词: idealess
image	n. 形象, 概念; 镜像, 影像, 图像; 印象; 酷似的人, 翻版; 比喻, 引喻, 明喻; 外形, 外表, 模样 时 态: imaged, imaging, images ...
initial	adj. 最初的；字首的; vt. 用姓名的首字母签名; n. 词首大写字母 时 态: initialed also initialled initialing initialli...
inland	n. 内地；内陆; adj. 内陆的；国内的；内地的; adv. 向内地；在内地；向内陆；在内陆 名 词: inlander
institute	vt. 建立，制定；开始，着手; n. 协会，学会；学院，研究院 时 态: instituted，instituting，institutes
institution	n. 惯例，习俗；制度; 为人熟知常在某处的人; 知名人士，名流; 慈善机构; 建立，制定
introduction	n. 介绍，引见; 引言，导论; 引进，传入；采用; 新采用的东西
investigator	n. 调查者;审查者形容词: investigatorial
island	n. 岛, 岛屿时 态: islanded, islanding, islands
jargon	n. 行话，术语；黄锆石 时 态: jargoned, jargoning, jargons
journal	n. 日报，杂志；日记；分类账
judge	n. 法官; 裁判员，评判员; 鉴定人，鉴赏家; vt. & vi. 审判；评判；断定 时 态: judged，judging，judges
king	n. 君主，国王; 重要的人；大王 时 态: kinged，kinging，kings
kiosk	n. 小摊棚, 售货亭; 公用电话亭
kit	n. 衣物和装备; 成套用品; 配套元件
knowledge	n. 了解, 理解; 个人的知识; 学问
koala	n. 树袋熊，无尾熊
lava	n. 熔岩; 火山岩
lawyer	n. 律师；法学家 副 词: lawyerly
lecturer	n. 讲师，演讲者
leisure	n. 闲暇；空闲；安逸; adj. 空闲的；有闲的；业余的
length	n. 长度，长；时间的长短；音长
lift	vt. 举起；提升；空运；鼓舞；抄袭; vi. 消散；升起；耸立; n. 举起；电梯；起重机；搭车 LIFTabbr. Logically Integrated FORTRAN T...
light	n. 光，光线，光亮; 光源，电灯; 火焰，火花，点火物; vt. & vi. 点火，生火，点燃; 容光焕发; vt. 照亮，照明; adj. 光线充足的，明亮的; 淡色的，浅色的; 轻的，...
loan	vt. 借出; n. 借出; 借出物；借款 时 态: loaned，loaning，loans 名 词: loaner
lounge	n. 休息室；闲逛；躺椅；酒吧间; vi. 闲逛；懒洋洋地躺卧；闲混; vt. 虚度光阴 时 态: lounged, lounging, lounges 名 词: lou...
loyalty	n. 忠心；忠诚；忠实
machine	n. 机械，机器；机械般工作的人；机构; vt. 用机器制造 时 态: machined, machining, machines 形容词: machinable 形...
maid	n. 女仆；少女; vt. 侍候；做新娘的女傧相; vi. 当女仆
mail	n. 邮政，邮递；邮件；盔甲; vt. 邮寄；给…穿盔甲; vi. 邮寄；寄出 时 态: mailed, mailing, mails 形容词: mailable
majority	n. 多数；成年
mane	n. 鬃毛
manufacture	vt. 制造; 捏造; n. 制造; 制造品, 产品 时 态: manufactured, manufacturing, manufactures 形容词: manufact...
mat	n. 地垫，垫子；团，簇; v. 缠结，缠结成一团；铺满……上 MATabbr. Mechanical Aptitude Test 对机械的适应性试验时 态: matted, ma...
material	n. 材料，原料; 衣料; 素材，资料; adj. 物质的；身体的；肉体的; 重要的，重大的
maturity	n. 成熟;成熟期;发育完全; 到期
maximum	adj. 最大值的, 最大量的; n. 最大的量、体积、强度等 复 数: maxima
meal	n. 一餐，一顿饭；膳食; vi. 进餐
measure	n. 措施；程度；测量；尺寸; vt. 测量；估量；权衡; vi. 测量；估量 时 态: measured, measuring, measures 名 词: measu...
measurement	n. 量度；测量，衡量; 尺寸
medicine	n. 药；医学；内科；巫术; vt. 给…用药；用药物治疗
mixture	n. 混合；混合物；混合剂
model	n. 模型；模范；模特儿；典型；样式; vt. 模仿；模拟；塑造; vi. 做模特儿；做模型; adj. 模范的；作模型用的 时 态: modeled also modelled ...
mood	n. 心境；情绪，语气；气氛
mosquito	n. 蚊子
motel	n. 汽车旅馆
moustache	n. 胡子
mouth	n. 口，嘴；河口; vt. 做作地说，装腔作势地说；喃喃地说出; vi. 装腔作势说话
muscle	n. 肌肉；力量; vt. 加强；使劲搬动；使劲挤出; vi. 使劲行进 时 态: muscled, muscling, muscles 形容词: muscly
net	n. 网；净利；网络；实价; vi. 编网; vt. 净赚；得到；用网捕; adj. 纯粹的；净余的 时 态: netted, netting, nets 名 词: ne...
night	n. 夜晚，晚上；黑暗，黑夜; adj. 夜晚的，夜间的
nose	n. 鼻子; 似鼻子的东西; 嗅觉; vt. 嗅; vi. 窥探, 探听, 四处查看; vt. & vi. 小心翼翼地前进 时 态: nosed, nosing, noses
note	n. 笔记；注解；便笺；照会；音符；调子；票据；纸币; vt. 记录；注意；注解 时 态: noted, noting, notes 名 词: noter
nought	n. 零；没有
nurse	vt. 看护，护理；培养；照顾；给…喂奶; vi. 照料，护理；喂奶；当保姆; n. 护士；奶妈，保姆 时 态: nursed, nursing, nurses 名 词: ...
nut	n. 干果, 坚果; 螺母, 螺帽; 头 NUTabbr. National Union of Teachers全国教师联合会 NUTabbr. National Union of ...
nutrition	n. 营养形容词: nutritional 副 词: nutritionally
ocean	n. 海洋；广阔；大量
oculist	n. 眼科医生
ointment	n. 软膏, 油膏; 扫兴的人；煞风景的事物
option	n. 选择权；选项；买卖的特权 时 态: optioned, optioning, options
ordinary	adj. 普通的；平常的；平凡的; n. 普通；平常的人
organizer	n. 组织者; 备忘记事本;电子笔记本
Oxford	n. 牛津大学；牛津
paint	n. 油漆，涂料; 颜料; 涂层，漆层; 化妆品; vt. & vi. 画；绘画; vt. 在…上涂涂料; 涂，搽; 描绘，描述 时 态: painted，painting，paint...
pair	n. 一副，一条，一把；一双，一对; 一对男女，一对夫妇; 雌雄成对的动物; 套在一起的两匹马; vt. & vi. 成对，成双; vi. 交配，交尾
pal	n. 朋友，伙伴；同志; vi. 结为朋友 时 态: palled, palling, pals
palace	n. 宫殿；豪华住宅；宅邸
parcel	n. 包裹; 一块地; vt. 给…打成包裹; 分成若干部分 时 态: parceled also parcelled parceling parcelling parcels par...
particulars	n. 事实, 细节@名词particular的复数形式
passenger	n. 乘客, 旅客
patient	adj. 忍耐的, 有耐心的; n. 患者, 病人 副 词: patiently
payment	n. 支付, 付款, 缴纳, 报酬; 付出的款项; 报答, 报偿
pedestrian	n. 步行者名 词: pedestrianism
pensioners	adj. 无养老金的
perk	vi. 昂首；振作; vt. 打扮；竖起；使振作; n. 小费；额外收入 时 态: perked, perking, perks
pet	n. 宠物；受宠爱的人；生气; vt. 宠爱; vi. 爱抚；生气; adj. 宠爱的 PETabbr. Performance Evaluation Test 性能鉴定试验时 态...
petrol	n. 汽油
petroleum	n. 石油
philosopher	n. 哲学家; 豁达的人
photograph	n. 照片, 相片; vt. & vi. 拍照 时 态: photographed, photographing, photographs 名 词: photographer
physician	n. 医生, 内科医生
physics	n. 物理学；物理现象
pianist	n. 钢琴家
planners	n. 规划师；计划人员；规划人员
plant	n. 工厂，车间；植物；庄稼；设备; vt. 安置；种植；栽培；培养; vi. 种植 时 态: planted, planting, plants 形容词: planta...
plate	n. 盘子, 碟; 金属牌; 平板, 薄片; vt. 镀, 电镀 时 态: plated, plating, plates 名 词: plater
pocket	n. 口袋；钱；容器; vt. 隐藏；忍受；将…放入衣袋; vi. 形成袋或囊; adj. 小型的，袖珍的；金钱上的 时 态: pocketed, pocketing, pocke...
police	n. 警察部门; 警方; 警察 vt. 维持治安；监督；管辖；为…配备警察形容词: policeable
pollutant	n. 污染物质
postgraduate	adj. 研究生的; n. 研究生
potteries	n. 陶工; v. 闲逛
precaution	n. 预防措施
precision	n. 精确度, 准确
preference	n. 较喜欢的东西, 偏爱; 优待, 优惠, 优先权
preposition	n. 介词时 态: prepositioned, prepositioning, prepositions
prescription	n. 药, 治疗方法; 处方, 药方; 开处方, 开药
presentation	n. 提供, 显示; 外观; 授予, 赠送; 报告; 表演 形容词: presentational
preservation	n. 保存, 保藏, 储藏, 保持
priority	n. 优先；优先权；优先次序；优先考虑的事
privacy	n. 隐居, 独处; 私事, 隐私
prize	n. 奖品；奖赏；战利品; vt. 珍视；估价；捕获; adj. 获奖的 时 态: prized, prizing, prizes
professors	n. 教授职位
prone	adj. 易于…的; 很可能…的; 俯卧的 名 词: proneness
property	n. 财产；性质，性能；所有权 形容词: propertyless
prospectus	n. 章程,简章,简介
protein	n. 蛋白质；朊; adj. 蛋白质的 形容词: proteinaceous
psychiatrist	n. 精神病专家, 精神病医生
psychologist	n. 心理学研究者;心理学家
psychotherapy	n. 精神疗法;心理疗法名 词: psychotherapist
publication	n. 发表, 公布; 出版, 刊行, 发行; 出版物, 书刊
purpose	n. 目的；意图; 作用；用途；效果; 意志；毅力；决心; vt. 有意，打算 时 态: purposed，purposing，purposes
purse	n. 钱包，小钱袋；金钱，财源; vt. 皱起，缩拢 时 态: pursed, pursing, purses
quantity	n. 量，数量；总量；大量
quarter	n. 四分之一；地区；季度；一刻钟；两角五分；节; vi. 住宿；驻扎; vt. 将…四等分；供某人住宿; num. 四分之一 时 态: quartered, quartering...
rainfall	n. 下雨，降雨; 雨量
rat	n. 鼠；卑鄙小人，叛徒; vi. 捕鼠；背叛，告密 RATabbr. Rocket-Assisted Torpedo 火箭助推鱼雷时 态: ratted, ratting, ...
rate	n. 比率，率; 速度；进度; 费用，价格; 房地产税，市政服务税; 等级，水准; vt. 估价；评估征税现值; vt. & vi. 认为；把…算作; vt.，link v. 定级 时 态...
reader	n. 读者; 审稿人, 校对员; 初级读物
recipe	n. 烹饪法; 食谱; 方法; 秘诀; 诀窍
recruit	n. 新兵; 新成员; vt. 招聘；吸引; 吸收某人为新成员; vt. & vi. 招募，征募; 恢复健康，恢复体力 时 态: recruited，recruiting，recrui...
referee	n. 裁判员；调解人；介绍人; vi. 担任裁判；仲裁; vt. 为…当裁判；调停 时 态: refereed, refereeing, referees
reference	n. 提及，涉及; 参考，查阅; 引文；参考书目; 证明书；推荐信；证明人；推荐人 时 态: referenced，referencing，references 形容词: r...
reflectance	n. 反射比,反射系数
refuge	n. 避难；避难所；庇护 vt. 给予…庇护；接纳…避难 vi. 避难；逃避时 态: refuged, refuging, refuges
region	n. 地区；范围；部位
relief	n. 减轻，解除；救济；安慰
religion	n. 宗教信仰；宗教
reproduce	vt. & vi. 复制；重现；再版; 生殖，繁殖 时 态: reproduced，reproducing，reproduces 名 词: reproducer 名 词:...
residence	n. 住处; 住宅; 公馆; 居住; 居留期间
resource	n. 资源，财力；办法；智谋
response	n. 响应；反应；回答
restaurant	n. 饭店, 餐馆
retirement	n. 退休；退职；退役; 退休的实例; 退休生活；遁世，隐居
rice	n. 稻；米饭; vt. 把…捣成米糊状 时 态: riced, ricing, rices
rider	n. 附文；骑手；扶手
role	n. 作用, 职责; 角色
safari	n. 旅行；狩猎远征；旅行队
safety	n. 安全；保险；安全设备；保险装置；安打
sail	vi. 航行；启航，开船; n. 帆，篷；航行; vt. 航行 时 态: sailed, sailing, sails
sailing	n. 航行，航海；启航；航海术; adj. 航行的; v. 航行，起航
salad	n. 色拉；尤指莴苣 Saladn. 社会自由民主党成员
salads	n. 色拉
salary	n. 薪水形容词: salaried
sale	n. 卖, 出售, 销售; 销售额, 销售量; 贱卖; 销路, 市场需求 SALEabbr. Simple Algebraic Language for Engineers 工程师用简明代数语言
salt	n. 盐，食盐; 味道或外观等像盐的物质；药用盐类; 增添趣味的事物; vt. 加盐于…以调味；用盐腌; 撒盐于; 使更有趣 SALTabbr. 限制战略武器会谈时 态: salt...
sample	vt. 取样；抽样检查；尝试; n. 样品；样本；例子; adj. 作为例子的；试样的，样品的 时 态: sampled, sampling, samples
sandal	n. 凉鞋；便鞋；檀香；檀香木 形容词: sandaled
satellite	n. 卫星; 人造卫星; 卫星国, 附庸国, 卫星都市
sauce	n. 调味汁, 酱汁; 无礼的话, 顶撞的话; vt. 加酱汁于；给...调味 时 态: sauced, saucing, sauces
saving	n. 存款；节约；挽救; adj. 节约的；补偿的；保留的；挽救的; prep. 除...之外；考虑到
scandal	n. 丑事，丑闻; 流言蜚语；闲话；诽谤; 公愤；反感
scandals	n. 丑闻；耻辱; v. 诋毁；说某人的坏话
scent	n. 气味，香味; 香水; 臭迹，遗臭; 线索; 嗅觉; vt. 嗅出…的气味，嗅出…的存在; 察觉到存在；觉得有，怀疑有; 使充满香味；洒香水于 时 态: scented，scent...
schedule	vt. 排定, 安排; n. 时间表, 日程安排表; 清单, 明细表 时 态: scheduled, scheduling, schedules 形容词: schedular...
scheme	vt. & vi. 策划；图谋; n. 阴谋，诡计; 计划，方案 时 态: schemed，scheming，schemes 名 词: schemer
scholar	n. 学者；奖学金获得者
scholarship	n. 学问, 学识; 奖学金 Scholarshipn. 奖学金,学问，学识
science	n. 科学；理科；技术；学科
sculpture	n. 雕刻, 雕塑; 雕刻品; vt. & vi. 雕刻, 雕塑 时 态: sculptured, sculpturing, sculptures 形容词: sculptur...
sea	n. 海洋；海；许多；大量 SEAabbr. special effect amplifier 特殊效果放大器
season	n. 时期；季节；赛季; vt. 给…调味；使适应; vi. 变得成熟；变干燥 时 态: seasoned, seasoning, seasons
seat	n. 坐席，座位; 所在地，场所；中心; 席位，职位; vt. 使就座; 使就职; 可容纳若干座位 时 态: seated，seating，seats
secretary	n. 秘书; 书记; 部长, 大臣 形容词: secretarial
seminar	n. 讨论会，研讨班
sense	n. 官能，感官；辨别，领悟，感觉；识别力；常识；见识；健全的心智；思维能力；理性；道理；目的；意义，意思 vt. 感觉到；意识到；发觉时 态: sensed，sensing，senses
sentence	n. 宣判，判决；句子，命题; vt. 判决，宣判 时 态: sentenced, sentencing, sentences 形容词: sentential
servant	n. 仆人，佣人；公务员；雇工
service	n. 服务，服侍；服役；仪式; adj. 服现役的；服务性的；耐用的; vt. 维修，检修；保养 时 态: serviced, servicing, services 缩 写: ...
sewage	n. 污水；污物；下水道
sewer	n. 下水道；阴沟；裁缝师; vt. 为…铺设污水管道；用下水道排除…的污水; vi. 清洗污水管
shelf	n. 搁板；架子；搁板状物 名 词: shelfful
shelter	n. 避难所；遮盖物；庇护; vt. 使掩蔽；保护; vi. 躲避，避难 时 态: sheltered, sheltering, shelters 形容词: shelte...
shoplifters	n. 商店行窃
shopper	n. 购物者；顾客
sight	n. 视力；视觉; 视野，视界; 看见，瞥见; 情景，景象; 风景；名胜; vt. 看见；发现; vt. & vi. 瞄准 时 态: sighted，sighting，sights
sign	n. 符号；记号；迹象；手势; vi. 签名；签署; vt. 签署；示意 时 态: signed, signing, signs 名 词: signer
signature	n. 签名, 签字
silence	n. 寂静；无声; 沉默; 无音信，失去联系; 寂静的时刻; vt. 使安静，使沉默 时 态: silenced，silencing，silences
simulation	n. 模仿;模拟
site	n. 位置，场所，地点; vt. 使坐落在；设置 时 态: sited，siting，sites
skating	n. 溜冰,滑冰; 如履薄冰；身处险境；冒着危险
skeleton	n. 骨架，骨骼；纲要；骨瘦如柴的人; adj. 骨骼的；概略的；骨瘦如柴的
skirt	n. 裙子; vt. 绕过，回避；位于…边缘; vi. 环绕；沿边走，绕开 时 态: skirted, skirting, skirts
slang	n. 俚语；行话; adj. 俚语的; vi. 用粗话骂; vt. 用俚语说 时 态: slanged, slanging, slangs 副 词: slangily ...
slip	vi. 犯错；滑倒；减退；滑动；失足; vt. 使滑动；滑过；摆脱；塞入；闪开; n. 滑，滑倒；错误；下跌；事故；片，纸片; adj. 滑动的；有活结的；活络的; abbr. 串行线路接口...
solution	n. 解决, 解答, 解决办法然想到一个解决方法; 溶液; 溶解
source	n. 来源；原始资料；起源；发源地; v. （从...)获得 时 态: sourced, sourcing, sources
south	n. 南方，南边；南部; adv. 在南方，向南方; adj. 南的，南方的
spider	n. 蜘蛛；设圈套者；三脚架
sponsor	vt. 赞助, 发起n. 赞助者；主办者；保证人 时 态: sponsored, sponsoring, sponsors 形容词: sponsorial 名 词: ...
spoon	n. 匙，勺子；一杓的量; vt. 用匙舀；使成匙状; vi. 轻轻向上击 时 态: spooned, spooning, spoons
spoons	n. 辣根菜
spot	n. 斑点, 污点; 地点, 场所; 少量; vt. & vi. 弄上污渍; vt. 看出, 认出 SPOTabbr. Satellite Positioning and Tracki...
stability	n. 稳定, 稳固
stair	n. 楼梯; 一级
standard	n. 标准，水准，规范; 平均质量；业务水平; 旗帜，标杆; 支柱，基座
status	n. 地位；情形；状态；重要身份
steak	n. 牛排
steam	vt. 蒸，散发；用蒸汽处理; n. 蒸汽；精力; vi. 蒸，冒水汽; adj. 蒸汽的 时 态: steamed, steaming, steams
sting	n. 刺痛；刺毛；讽刺，刺激; vt. 驱使；刺；使…苦恼；使…疼痛; vi. 刺痛；被刺痛；感到剧痛 时 态: stung stinging, stings 副 词: ...
stomach	n. 胃；胃口；腹部; vt. 忍受；吃下; vi. 忍受 时 态: stomached, stomaching, stomachs
stomachache	n. 胃痛;腹痛
strategy	n. 战略学, 兵法; 战略, 策略; 策略, 计谋
strength	n. 力量；力气；长处；兵力
submit	vi. 屈服, 认输; vt. 提交, 呈递; 〈正〉建议, 主张, 申辩 时 态: submitted, submitting, submits 名 词: submittal
suburb	n. 郊区, 城郊
sugar	n. 糖；食糖；甜言蜜语; vt. 加糖于；粉饰; vi. 形成糖 时 态: sugared, sugaring, sugars 名 词: sugarer
suit	n. 一套衣服; 诉讼案件；法律程序; vt. 适合于; vt. & vi. 对…方便，使满意 时 态: suited，suiting，suits
sunshield	遮阳板
supervisor	n. 监督者, 管理者形容词: supervisory
surface	n. 表面；外观；表层; adj. 表面的，肤浅的; vi. 浮出水面; vt. 使浮出水面；使成平面 时 态: surfaced, surfacing, surfaces
surgeon	n. 外科医生
surname	n. 姓，姓氏；绰号，别名; vt. 给…起别名；给…姓氏 时 态: surnamed, surnaming, surnames
